categories_slug,name,description,short_description,sku,price,special_price,special_price_from,special_price_to,inventory_sources,inventories,weight,meta_title,meta_keywords,meta_description,color,size,url_key,tax_category_id,new,featured,visible_individually,status,cost,width,height,depth,type,attribute_family_name,images,guest_checkout,diet,stocklimit
165,"Vanilla - piece,فانيليا بالقطعة","Vanilla - piece,فانيليا بالقطعة","Vanilla - piece,فانيليا بالقطعة",11038,100,,,,"HUR,QEN","100,100",1,,,,,,فانيليا-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11038.png,0,0,0
165,",الوان جل اسود بالقطعة",",الوان جل اسود بالقطعة",",الوان جل اسود بالقطعة",11039,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-اسود-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11039.png,0,0,0
165,",الوان جل ازرق بالقطعة",",الوان جل ازرق بالقطعة",",الوان جل ازرق بالقطعة",11040,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-ازرق-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11040.png,0,0,0
165,",الوان جل احمر بالقطعة",",الوان جل احمر بالقطعة",",الوان جل احمر بالقطعة",11041,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-احمر-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11041.png,0,0,0
165,",الوان جل ابيض بالقطعة",",الوان جل ابيض بالقطعة",",الوان جل ابيض بالقطعة",11042,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-ابيض-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11042.png,0,0,0
165,",الوان جل موف بالقطعة",",الوان جل موف بالقطعة",",الوان جل موف بالقطعة",11043,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-موف-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11043.png,0,0,0
165,",الوان جل بينك بالقطعة",",الوان جل بينك بالقطعة",",الوان جل بينك بالقطعة",11044,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-بينك-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11044.png,0,0,0
165,",الوان جل اخضر بالقطعة",",الوان جل اخضر بالقطعة",",الوان جل اخضر بالقطعة",11045,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-اخضر-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11045.png,0,0,0
165,"Liquid Glucose - Jar,عسل جلوكوز بالقطعة","Liquid Glucose - Jar,عسل جلوكوز بالقطعة","Liquid Glucose - Jar,عسل جلوكوز بالقطعة",11046,100,,,,"HUR,QEN","100,100",1,,,,,,عسل-جلوكوز-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11046.png,0,0,0
165,",الوان جل فوشيا بالقطعة",",الوان جل فوشيا بالقطعة",",الوان جل فوشيا بالقطعة",11047,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-فوشيا-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11047.png,0,0,0
165,"Savory FoodColor Blends - 28ml,Savory ماء ملونات الطعام 28 ملل","Savory FoodColor Blends - 28ml,Savory ماء ملونات الطعام 28 ملل","Savory FoodColor Blends - 28ml,Savory ماء ملونات الطعام 28 ملل",11048,100,,,,"HUR,QEN","100,100",1,,,,,,Savory-ماء-ملونات-الطعام-28-ملل,,1,0,1,1,100,1,1,1,simple,Default,11048.png,0,0,0
165,",هيد اند شولدز شامبو ديتوكس فحم 600 مل",",هيد اند شولدز شامبو ديتوكس فحم 600 مل",",هيد اند شولدز شامبو ديتوكس فحم 600 مل",11049,100,,,,"HUR,QEN","100,100",1,,,,,,هيد-اند-شولدز-شامبو-ديتوكس-فحم-600-مل,,1,0,1,1,100,1,1,1,simple,Default,11049.png,0,0,0
165,",الوان جل اصفر بالقطعة",",الوان جل اصفر بالقطعة",",الوان جل اصفر بالقطعة",11050,100,,,,"HUR,QEN","100,100",1,,,,,,الوان-جل-اصفر-بالقطعة,,1,0,1,1,100,1,1,1,simple,Default,11050.png,0,0,0
165,",سمسم ابيض 1 كجم توريد",",سمسم ابيض 1 كجم توريد",",سمسم ابيض 1 كجم توريد",11051,100,,,,"HUR,QEN","100,100",1,,,,,,سمسم-ابيض-1-كجم-توريد,,1,0,1,1,100,1,1,1,simple,Default,11051.png,0,0,0
9,",ليمون طبيعي فريش بالوزن 2",",ليمون طبيعي فريش بالوزن 2",",ليمون طبيعي فريش بالوزن 2",11052,100,,,,"HUR,QEN","100,100",1,,,,,,ليمون-طبيعي-فريش-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11052.png,0,0,0
9,",فلفل رومي 2",",فلفل رومي 2",",فلفل رومي 2",11053,100,,,,"HUR,QEN","100,100",1,,,,,,فلفل-رومي-2,,1,0,1,1,100,1,1,1,simple,Default,11053.png,0,0,0
9,",طماطم 2",",طماطم 2",",طماطم 2",11054,100,,,,"HUR,QEN","100,100",1,,,,,,طماطم-2,,1,0,1,1,100,1,1,1,simple,Default,11054.png,0,0,0
10,",بنجر بالوزن 2",",بنجر بالوزن 2",",بنجر بالوزن 2",11055,100,,,,"HUR,QEN","100,100",1,,,,,,بنجر-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11055.png,0,0,0
10,",بلح برحي 2",",بلح برحي 2",",بلح برحي 2",11056,100,,,,"HUR,QEN","100,100",1,,,,,,بلح-برحي-2,,1,0,1,1,100,1,1,1,simple,Default,11056.png,0,0,0
10,"Sakoutty Dates  - perKG,بلح مجدول بالوزن","Sakoutty Dates  - perKG,بلح مجدول بالوزن","Sakoutty Dates  - perKG,بلح مجدول بالوزن",11057,100,,,,"HUR,QEN","100,100",1,,,,,,بلح-مجدول-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11057.png,0,0,0
9,"green onion perKG,بصل اخضر","green onion perKG,بصل اخضر","green onion perKG,بصل اخضر",11058,100,,,,"HUR,QEN","100,100",1,,,,,,بصل-اخضر,,1,0,1,1,100,1,1,1,simple,Default,11058.png,0,0,0
9,",خس كابوتشي 2",",خس كابوتشي 2",",خس كابوتشي 2",11059,100,,,,"HUR,QEN","100,100",1,,,,,,خس-كابوتشي-2,,1,0,1,1,100,1,1,1,simple,Default,11059.png,0,0,0
10,",شهد فريش بالوزن",",شهد فريش بالوزن",",شهد فريش بالوزن",11060,100,,,,"HUR,QEN","100,100",1,,,,,,شهد-فريش-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11060.png,0,0,0
10,",رمان جبلي بالوزن",",رمان جبلي بالوزن",",رمان جبلي بالوزن",11061,100,,,,"HUR,QEN","100,100",1,,,,,,رمان-جبلي-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11061.png,0,0,0
9,",بلح رطب بالوزن 2",",بلح رطب بالوزن 2",",بلح رطب بالوزن 2",11062,100,,,,"HUR,QEN","100,100",1,,,,,,بلح-رطب-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11062.png,0,0,0
9,",بطاطا بالوزن 2",",بطاطا بالوزن 2",",بطاطا بالوزن 2",11063,100,,,,"HUR,QEN","100,100",1,,,,,,بطاطا-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11063.png,0,0,0
10,",قشطة فريش بالوزن 2",",قشطة فريش بالوزن 2",",قشطة فريش بالوزن 2",11064,100,,,,"HUR,QEN","100,100",1,,,,,,قشطة-فريش-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11064.png,0,0,0
9,"Green beans perKG,فاصوليا خضراء","Green beans perKG,فاصوليا خضراء","Green beans perKG,فاصوليا خضراء",11065,100,,,,"HUR,QEN","100,100",1,,,,,,فاصوليا-خضراء,,1,0,1,1,100,1,1,1,simple,Default,11065.png,0,0,0
9,"Carrots perKG,جزر بالوزن","Carrots perKG,جزر بالوزن","Carrots perKG,جزر بالوزن",11066,100,,,,"HUR,QEN","100,100",1,,,,,,جزر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11066.png,0,0,0
9,"Colorful Sweet Peppers perKG,فلفل رومي الوان","Colorful Sweet Peppers perKG,فلفل رومي الوان","Colorful Sweet Peppers perKG,فلفل رومي الوان",11067,100,,,,"HUR,QEN","100,100",1,,,,,,فلفل-رومي-الوان,,1,0,1,1,100,1,1,1,simple,Default,11067.png,0,0,0
10,"Italian Yellow Apple perKG,تفاح ايطالي اصفر","Italian Yellow Apple perKG,تفاح ايطالي اصفر","Italian Yellow Apple perKG,تفاح ايطالي اصفر",11068,100,,,,"HUR,QEN","100,100",1,,,,,,تفاح-ايطالي-اصفر,,1,0,1,1,100,1,1,1,simple,Default,11068.png,0,0,0
10,",بلح رطب بالوزن",",بلح رطب بالوزن",",بلح رطب بالوزن",11069,100,,,,"HUR,QEN","100,100",1,,,,,,بلح-رطب-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11069.png,0,0,0
10,"Black plum perKG,برقوق اسود","Black plum perKG,برقوق اسود","Black plum perKG,برقوق اسود",11070,100,,,,"HUR,QEN","100,100",1,,,,,,برقوق-اسود,,1,0,1,1,100,1,1,1,simple,Default,11070.png,0,0,0
10,"French green apple perKG,تفاح اخضر فرنساوي","French green apple perKG,تفاح اخضر فرنساوي","French green apple perKG,تفاح اخضر فرنساوي",11071,100,,,,"HUR,QEN","100,100",1,,,,,,تفاح-اخضر-فرنساوي,,1,0,1,1,100,1,1,1,simple,Default,11071.png,0,0,0
10,"Black Grapes perKG,عنب اسود","Black Grapes perKG,عنب اسود","Black Grapes perKG,عنب اسود",11072,100,,,,"HUR,QEN","100,100",1,,,,,,عنب-اسود,,1,0,1,1,100,1,1,1,simple,Default,11072.png,0,0,0
10,"Red Grapes perKG,عنب احمر","Red Grapes perKG,عنب احمر","Red Grapes perKG,عنب احمر",11073,100,,,,"HUR,QEN","100,100",1,,,,,,عنب-احمر,,1,0,1,1,100,1,1,1,simple,Default,11073.png,0,0,0
10,"Imported Banana perKG,موز مستورد","Imported Banana perKG,موز مستورد","Imported Banana perKG,موز مستورد",11074,100,,,,"HUR,QEN","100,100",1,,,,,,موز-مستورد,,1,0,1,1,100,1,1,1,simple,Default,11074.png,0,0,0
10,"Guava perKG,جوافة","Guava perKG,جوافة","Guava perKG,جوافة",11075,100,,,,"HUR,QEN","100,100",1,,,,,,جوافة,,1,0,1,1,100,1,1,1,simple,Default,11075.png,0,0,0
10,"American Apple perKG,تفاح احمر لبناني","American Apple perKG,تفاح احمر لبناني","American Apple perKG,تفاح احمر لبناني",11076,100,,,,"HUR,QEN","100,100",1,,,,,,تفاح-احمر-لبناني,,1,0,1,1,100,1,1,1,simple,Default,11076.png,0,0,0
10,"Orange perKG,برتقال","Orange perKG,برتقال","Orange perKG,برتقال",11077,100,,,,"HUR,QEN","100,100",1,,,,,,برتقال,,1,0,1,1,100,1,1,1,simple,Default,11077.png,0,0,0
9,"Capuchi lettuce piece,خس كابوتشي","Capuchi lettuce piece,خس كابوتشي","Capuchi lettuce piece,خس كابوتشي",11078,100,,,,"HUR,QEN","100,100",1,,,,,,خس-كابوتشي,,1,0,1,1,100,1,1,1,simple,Default,11078.png,0,0,0
9,"Chinese garlic piece,ثوم صيني","Chinese garlic piece,ثوم صيني","Chinese garlic piece,ثوم صيني",11079,100,,,,"HUR,QEN","100,100",1,,,,,,ثوم-صيني,,1,0,1,1,100,1,1,1,simple,Default,11079.png,0,0,0
10,"Pineapple piece,اناناس","Pineapple piece,اناناس","Pineapple piece,اناناس",11080,100,,,,"HUR,QEN","100,100",1,,,,,,اناناس,,1,0,1,1,100,1,1,1,simple,Default,11080.png,0,0,0
10,",خيار فريش بالوزن 2",",خيار فريش بالوزن 2",",خيار فريش بالوزن 2",11081,100,,,,"HUR,QEN","100,100",1,,,,,,خيار-فريش-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11081.png,0,0,0
9,"Fresh Cucumber perKG,خيار فريش","Fresh Cucumber perKG,خيار فريش","Fresh Cucumber perKG,خيار فريش",11082,100,,,,"HUR,QEN","100,100",1,,,,,,خيار-فريش,,1,0,1,1,100,1,1,1,simple,Default,11082.png,0,0,0
9,"zucchini perKG,كوسة","zucchini perKG,كوسة","zucchini perKG,كوسة",11083,100,,,,"HUR,QEN","100,100",1,,,,,,كوسة,,1,0,1,1,100,1,1,1,simple,Default,11083.png,0,0,0
10,"Banana Egyptian perKG,موز بلدي","Banana Egyptian perKG,موز بلدي","Banana Egyptian perKG,موز بلدي",11084,100,,,,"HUR,QEN","100,100",1,,,,,,موز-بلدي,,1,0,1,1,100,1,1,1,simple,Default,11084.png,0,0,0
9,"Fresh white onions perKG,بصل ابيض فريش","Fresh white onions perKG,بصل ابيض فريش","Fresh white onions perKG,بصل ابيض فريش",11085,100,,,,"HUR,QEN","100,100",1,,,,,,بصل-ابيض-فريش,,1,0,1,1,100,1,1,1,simple,Default,11085.png,0,0,0
